Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E1,25/08/12,Peterboro,Leeds,1,2,A,0,1,A,13,9,7,4,13,17,8,5,4,0,0,0,2.75,3.75,2.3,3,3.3,2.25,3,3.3,2.25,2.7,3.2,2.4,2.88,3.3,2.4,3.06,3.6,2.38,2.62,3.3,2.3,2.8,3.3,2.4,3,3.6,2.4,2.8,3.25,2.4,34,3.06,2.85,3.6,3.36,2.5,2.37,30,1.81,1.72,2.19,2.08,17,0,2.23,2.13,1.76,1.72
E1,25/08/12,Sheffield Weds,Millwall,3,2,H,1,2,A,17,7,8,4,11,14,7,2,4,1,0,0,2,3.3,3.75,1.9,3.3,4,1.9,3.3,4,2,3.3,3.3,2,3.3,3.75,2.13,3.43,3.78,2,3.2,3.25,2.05,3.3,3.6,2.1,3.4,3.9,2,3.3,3.5,34,2.15,2.04,3.5,3.34,3.84,3.6,30,2.11,2.01,1.85,1.78,16,-0.25,1.84,1.77,2.17,2.1
E1,25/08/12,Watford,Birmingham,2,0,H,2,0,H,10,8,3,3,9,9,5,2,1,0,0,0,2.6,3.4,2.6,2.55,3.2,2.65,2.55,3.2,2.65,2.5,3.2,2.6,2.5,3.3,2.75,2.72,3.46,2.72,2.45,3.2,2.5,2.5,3.5,2.6,2.7,3.4,2.7,2.6,3.25,2.6,34,2.72,2.58,3.5,3.29,2.8,2.64,31,2.02,1.87,1.99,1.91,17,0,1.97,1.92,1.96,1.92
E1,25/08/12,Wolves,Derby,1,1,D,1,0,H,7,12,3,11,9,5,4,7,0,0,0,0,1.67,3.6,5.25,1.72,3.5,4.75,1.72,3.5,4.75,1.75,3.4,4.3,1.7,3.6,5,1.7,3.75,5.9,1.65,3.5,4.4,1.73,3.6,4.8,1.75,3.6,5.75,1.75,3.5,4.5,34,1.8,1.71,3.8,3.54,5.9,4.94,30,2.04,1.92,1.96,1.87,15,-0.75,1.95,1.91,1.99,1.95
E1,01/09/12,Barnsley,Bristol City,1,0,H,0,0,D,14,12,7,5,7,9,7,5,1,1,1,0,2.63,3.3,2.6,2.6,3.1,2.65,2.6,3.1,2.65,2.4,3.2,2.7,2.62,3.3,2.62,2.8,3.39,2.68,2.7,3.3,2.6,2.63,3.25,2.63,2.8,3.4,2.62,2.5,3.25,2.7,36,2.8,2.63,3.4,3.27,2.7,2.61,32,2.04,1.98,1.94,1.81,19,0,2.01,1.94,1.96,1.9
E1,01/09/12,Birmingham,Peterboro,1,0,H,1,0,H,14,7,5,1,8,7,2,4,3,1,0,0,1.53,4.1,6,1.55,3.9,5.5,1.55,3.9,5.5,1.6,3.6,5,1.57,3.75,6,1.54,4.32,6.92,1.55,4,6,1.53,3.8,6,1.55,4.2,7,1.57,3.8,5.5,36,1.6,1.55,4.32,3.91,7,6.05,32,1.8,1.69,2.25,2.12,18,-1,1.97,1.91,2,1.95
E1,01/09/12,Burnley,Brighton,1,3,A,0,1,A,10,17,4,10,10,10,4,11,2,4,0,0,2.4,3.2,3,2.35,3,3.1,2.35,3,3.1,2.3,3.2,2.8,2.4,3.3,2.9,2.45,3.21,3.2,2.3,3.2,3.2,2.38,3.2,3,2.45,3.3,3.2,2.4,3.3,2.75,36,2.46,2.37,3.35,3.23,3.2,2.97,26,2.36,2.25,1.69,1.59,19,0,1.74,1.67,2.31,2.21
E1,01/09/12,Crystal Palace,Sheffield Weds,2,1,H,1,0,H,10,11,5,8,14,19,2,10,2,3,0,0,2.9,3.3,2.4,2.9,3.25,2.35,2.9,3.25,2.35,2.55,3.2,2.55,2.7,3.4,2.5,3.2,3.48,2.37,2.9,3.4,2.38,2.88,3.25,2.4,3.1,3.4,2.4,2.75,3.2,2.5,36,3.2,2.86,3.5,3.29,2.6,2.41,32,2.02,1.9,1.94,1.88,20,0,2.27,2.13,1.85,1.72
E1,01/09/12,Derby,Watford,5,1,H,3,0,H,12,4,11,1,7,13,6,3,1,1,0,0,2.3,3.4,3,2.3,3.2,3,2.3,3.2,3,2.3,3.2,2.8,2.3,3.4,3,2.31,3.44,3.31,2.3,3.3,3.1,2.3,3.3,3,2.38,3.4,3.25,2.4,3.25,2.8,36,2.4,2.32,3.44,3.29,3.31,2.98,32,2.16,2.04,1.83,1.75,19,0,1.7,1.65,2.37,2.23
E1,01/09/12,Hull,Bolton,3,1,H,1,1,D,11,12,5,6,13,7,5,8,1,1,0,0,2.5,3.3,2.75,2.45,3.1,2.85,2.45,3.1,2.85,2.5,3.2,2.6,2.5,3.25,2.8,2.56,3.3,3.02,2.5,3.2,2.9,2.5,3.2,2.8,2.55,3.3,3,2.5,3.25,2.7,36,2.56,2.47,3.35,3.23,3.02,2.81,26,2.3,2.14,1.72,1.64,20,0,1.8,1.76,2.16,2.08
E1,01/09/12,Ipswich,Huddersfield,2,2,D,0,1,A,15,15,5,8,6,13,10,3,1,1,0,0,2.1,3.4,3.4,2.05,3.4,3.4,2.05,3.4,3.4,2.2,3.2,3,2.1,3.4,3.4,2.09,3.66,3.6,2.05,3.6,3.4,2.1,3.4,3.4,2.1,3.7,3.6,2.15,3.3,3.2,36,2.2,2.07,3.7,3.4,3.65,3.43,32,1.87,1.79,2.1,2,18,-0.25,1.84,1.76,2.17,2.12
E1,01/09/12,Leeds,Blackburn,3,3,D,1,2,A,14,15,8,8,20,17,5,9,2,3,0,0,2.3,3.4,3,2.3,3.2,3,2.3,3.2,3,2.4,3.2,2.7,2.38,3.4,2.88,2.32,3.51,3.23,2.3,3.3,3.1,2.38,3.3,2.88,2.38,3.4,3.2,2.3,3.3,2.88,36,2.42,2.31,3.51,3.31,3.23,2.98,32,2.04,1.92,1.97,1.87,19,0,1.7,1.66,2.34,2.23
E1,01/09/12,Leicester,Blackpool,1,0,H,0,0,D,7,6,3,1,6,5,14,7,0,2,0,0,2.1,3.4,3.4,2.15,3.4,3.4,2.15,3.4,3.4,2.1,3.3,3.1,2.2,3.4,3.2,2.18,3.63,3.44,2.15,3.5,3.25,2.05,3.5,3.3,2.2,3.6,3.4,2.1,3.3,3.3,36,2.25,2.14,3.63,3.38,3.5,3.28,32,1.82,1.71,2.2,2.1,18,-0.25,1.93,1.87,2.04,2
E1,01/09/12,Millwall,Middlesbrough,3,1,H,2,1,H,9,13,6,6,9,6,3,4,3,3,0,0,2.4,3.3,2.88,2.35,3.3,3.1,2.35,3.3,3.1,2.5,3.2,2.6,2.5,3.3,2.75,2.49,3.42,3.03,2.45,3.25,2.9,2.5,3.25,2.8,2.5,3.4,3,2.5,3.25,2.7,36,2.52,2.43,3.42,3.27,3.03,2.85,32,2.18,2.07,1.81,1.73,19,0,1.8,1.74,2.21,2.11
E1,01/09/12,Nott'm Forest,Charlton,2,1,H,1,0,H,10,4,5,1,11,11,6,7,4,3,0,0,1.83,3.5,4.2,1.95,3.3,3.8,1.95,3.3,3.8,1.9,3.3,3.7,1.91,3.4,4,2,3.53,4.13,2,3.4,3.8,2,3.3,3.8,2,3.5,4.2,1.91,3.4,3.8,36,2.04,1.96,3.53,3.37,4.2,3.83,32,2.25,2.11,1.78,1.7,18,-0.25,1.76,1.7,2.25,2.19
E1,02/09/12,Cardiff,Wolves,3,1,H,2,1,H,12,7,10,4,15,8,10,6,1,1,0,0,2.1,3.3,3.5,2.1,3.4,3.6,2.1,3.4,3.6,2.2,3.2,3,2.2,3.3,3.3,2.11,3.47,3.81,2.05,3.4,3.6,2.1,3.3,3.4,2.15,3.4,3.7,2.1,3.3,3.3,36,2.2,2.09,3.47,3.31,3.81,3.47,32,2.15,1.99,1.89,1.8,18,-0.25,1.86,1.77,2.18,2.1
