Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E3,21/08/12,Torquay,Cheltenham,2,2,D,2,1,H,19,13,9,5,9,12,3,9,0,1,0,0,2.1,3.4,3.4,2.1,3.2,3.2,2.1,3.2,3.2,2,3.2,3.1,2.1,3.4,3.4,2.1,3.25,3.2,2.1,3.2,3.6,2.1,3.4,3.3,2.15,3.5,3.5,2.1,3.4,3.2,34,2.2,2.1,3.57,3.31,3.6,3.34,29,2.05,1.95,1.92,1.84,16,-0.25,1.87,1.84,2.08,2.02
E3,21/08/12,Wycombe,Gillingham,0,1,A,0,0,D,8,10,3,4,16,10,5,6,1,1,0,1,2.25,3.6,2.9,2.25,3.2,2.9,2.25,3.2,2.9,2.1,3.1,3,2.3,3.4,3,2.2,3.25,2.95,2.3,3.2,3.2,2.25,3.3,3,2.38,3.5,3.12,2.2,3.4,3,34,2.45,2.3,3.6,3.32,3.2,2.93,21,1.84,1.77,2.11,2,16,-0.25,2.14,2.07,1.85,1.79
E3,25/08/12,Accrington,Exeter,0,3,A,0,1,A,5,13,4,12,7,9,12,5,0,1,0,0,2.3,3.4,3,2.35,3.2,2.75,2.35,3.2,2.75,2.2,3.1,2.8,2.38,3.3,2.9,2.4,3.46,3.08,2.25,3.2,2.75,2.38,3.3,2.88,2.38,3.4,3,2.2,3.3,2.88,34,2.43,2.33,3.45,3.27,3.1,2.91,30,2,1.89,1.98,1.89,15,-0.25,2.1,2.05,1.84,1.81
E3,25/08/12,Aldershot,Cheltenham,0,1,A,0,0,D,5,3,0,1,19,12,6,6,5,2,0,0,2.3,3.4,3,2.3,3,3,2.3,3,3,2.1,3.1,3,2.38,3.3,2.9,2.48,3.31,3.07,2.38,3,2.75,2.38,3.25,3,2.4,3.3,3,2.1,3.25,3.1,34,2.51,2.36,3.4,3.23,3.1,2.91,23,2.2,2.08,1.8,1.68,14,-0.25,2.15,2.07,1.84,1.8
E3,25/08/12,Barnet,York,1,3,A,1,3,A,9,14,3,5,8,6,7,6,0,0,0,0,2.6,3.4,2.6,2.5,3.2,2.6,2.5,3.2,2.6,2.4,3.1,2.5,2.62,3.3,2.62,2.82,3.35,2.65,2.6,3.1,2.4,2.63,3.25,2.6,2.75,3.3,2.6,2.4,3.3,2.6,34,2.82,2.64,3.4,3.23,2.7,2.57,30,2.05,1.93,1.94,1.84,16,0,2.04,1.96,1.92,1.87
E3,25/08/12,Bradford,AFC Wimbledon,5,1,H,5,1,H,15,6,10,2,5,6,7,4,0,1,0,0,1.8,3.6,4.33,1.78,3.4,4.1,1.78,3.4,4.1,1.9,3.2,3.4,1.8,3.6,4.33,1.88,3.7,4.4,1.7,3.4,4.2,1.83,3.5,4,1.85,3.6,4.3,1.75,3.6,4,34,1.9,1.82,3.7,3.48,4.75,4.14,30,1.9,1.81,2.1,1.97,15,-0.5,1.88,1.83,2.08,2.03
E3,25/08/12,Burton,Fleetwood Town,0,1,A,0,0,D,20,4,10,3,8,11,3,9,0,1,0,0,2.8,3.4,2.4,2.8,3.2,2.3,2.8,3.2,2.3,2.8,3.1,2.2,2.9,3.3,2.38,2.98,3.45,2.47,2.7,3.2,2.3,2.88,3.3,2.38,2.9,3.4,2.45,2.88,3.3,2.25,34,3.2,2.84,3.45,3.27,2.48,2.37,30,1.95,1.88,1.98,1.9,15,0.25,1.8,1.75,2.19,2.13
E3,25/08/12,Chesterfield,Rotherham,1,1,D,1,0,H,13,13,3,6,13,7,6,10,2,2,0,0,2.5,3.4,2.7,2.5,3.2,2.6,2.5,3.2,2.6,2.4,3.1,2.5,2.5,3.4,2.7,2.52,3.42,2.92,2.3,3.2,2.7,2.5,3.2,2.8,2.45,3.4,2.88,2.5,3.3,2.5,34,2.63,2.46,3.42,3.26,2.93,2.74,30,1.92,1.85,2.05,1.92,16,0,1.85,1.79,2.14,2.05
E3,25/08/12,Dag and Red,Gillingham,1,2,A,1,1,D,19,13,10,11,10,14,9,5,1,1,0,0,2.88,3.4,2.38,2.75,3.2,2.35,2.75,3.2,2.35,2.6,3.1,2.3,2.8,3.4,2.4,3,3.42,2.47,2.75,3.2,2.25,2.8,3.3,2.4,2.9,3.4,2.4,2.88,3.25,2.3,34,2.89,2.8,3.44,3.27,2.53,2.4,23,1.88,1.76,2.1,1.97,15,0.25,1.8,1.76,2.2,2.11
E3,25/08/12,Morecambe,Port Vale,1,3,A,1,1,D,7,12,3,6,12,12,2,5,1,1,0,0,2.25,3.4,3.1,2.4,3.2,2.7,2.4,3.2,2.7,2.2,3.1,2.8,2.25,3.3,3.1,2.49,3.44,2.96,2.25,3.2,2.75,2.38,3.3,2.88,2.4,3.3,3,2.25,3.3,2.88,33,2.49,2.33,3.44,3.27,3.1,2.91,29,1.95,1.86,2,1.91,15,-0.25,2.15,2.07,1.83,1.79
