Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
EC,14/08/12,Newport County,Nuneaton Town,4,0,H,2,0,H,8,7,5,3,11,5,5,3,0,0,0,0,1.75,3.75,4.5,1.78,3.4,3.9,1.78,3.4,3.9,1.8,3.2,3.7,1.73,3.4,4,1.79,3.8,4.8,1.83,3.4,4.5,1.8,3.5,4.33,1.78,3.7,4.6,1.67,3.75,4.33,36,1.85,1.79,3.75,3.5,4.7,4.19,21,1.83,1.72,2.12,2.06,18,-0.5,1.84,1.8,2.11,2.06
EC,14/08/12,Tamworth,Hereford,2,2,D,0,2,A,25,4,11,3,15,9,9,7,2,1,0,1,3,3.4,2.3,2.9,3.2,2.2,2.9,3.2,2.2,2.6,3.1,2.3,2.75,3.25,2.2,3.08,3.45,2.41,2.75,3.5,2.4,3,3.3,2.3,3,3.4,2.38,2.75,3.4,2.25,37,3.08,2.83,3.5,3.3,2.45,2.32,21,1.88,1.75,2.1,2.03,19,0.25,1.85,1.8,2.12,2.06
EC,14/08/12,Woking,Dartford,1,0,H,0,0,D,9,2,5,1,11,11,7,6,2,3,0,1,1.91,3.6,3.8,1.78,3.5,3.8,1.78,3.5,3.8,1.8,3.1,3.8,1.91,3.3,3.3,1.93,3.81,4.02,1.91,3.5,4,1.9,3.5,3.8,1.9,3.75,3.9,1.8,3.6,3.75,37,1.95,1.88,3.81,3.47,4.02,3.73,19,1.7,1.61,2.33,2.24,18,-0.5,1.95,1.91,1.99,1.94
EC,17/08/12,Hyde United,Luton,1,2,A,0,0,D,9,10,5,1,11,12,4,7,1,1,0,0,4,3.5,1.8,4.25,3.4,1.72,4.25,3.4,1.72,3.8,3.1,1.8,4.33,3.6,1.62,4.35,3.79,1.86,4.33,3.6,1.67,4,3.5,1.8,4.4,3.7,1.83,4.5,3.6,1.67,38,5.01,4.33,3.84,3.49,1.8,1.75,32,1.91,1.81,2.06,1.98,19,0.5,2.2,2.15,1.78,1.75
EC,18/08/12,AFC Telford United,Braintree Town,3,0,H,2,0,H,13,3,7,1,13,8,6,13,1,1,0,0,2.25,3.4,2.8,2.3,3.1,2.8,2.3,3.1,2.8,2.4,3.1,2.5,2.25,3.3,2.62,2.69,3.39,2.75,2.25,3.2,2.75,2.5,3.2,2.75,2.6,3.3,2.8,2.2,3.4,2.88,35,2.69,2.44,3.4,3.21,3,2.71,29,2.05,1.98,1.86,1.81,15,0,1.92,1.88,2.01,1.97
EC,18/08/12,Alfreton Town,Hereford,0,3,A,0,0,D,13,9,8,6,9,7,3,5,2,0,1,0,2.75,3.4,2.3,2.75,3.3,2.25,2.75,3.3,2.25,2.6,3.1,2.3,2.4,3.4,2.4,3.07,3.54,2.37,2.5,3.4,2.5,3,3.3,2.38,2.9,3.4,2.4,2.62,3.4,2.38,35,3.07,2.79,3.54,3.28,2.5,2.35,20,1.82,1.72,2.1,2.07,17,0.25,1.82,1.78,2.12,2.08
EC,18/08/12,Cambridge,Southport,2,0,H,0,0,D,7,5,4,3,12,13,9,8,0,2,0,0,1.91,3.5,3.5,1.75,3.3,4.25,1.75,3.3,4.25,1.9,3.2,3.4,1.8,3.3,3.75,1.96,3.63,4.09,1.73,3.5,3.8,1.9,3.4,4,1.87,3.5,4.33,1.67,3.6,4.5,35,1.96,1.9,3.63,3.35,4.75,3.77,29,2,1.93,1.94,1.85,16,-0.5,1.98,1.92,1.98,1.93
EC,18/08/12,Ebbsfleet,Wrexham,1,1,D,0,0,D,10,7,3,3,12,12,4,5,1,2,0,0,3.2,3.6,2,3.05,3.4,2.05,3.05,3.4,2.05,3.2,3.1,2,3,3.4,2,3.52,3.63,2.13,3.5,3.4,1.83,3.25,3.4,2.2,3.4,3.6,2.1,3.5,3.4,1.91,35,3.75,3.26,3.63,3.34,2.2,2.07,20,1.82,1.75,2.1,2.01,13,0.25,2.07,2.02,1.85,1.82
EC,18/08/12,Gateshead,Forest Green,1,1,D,0,0,D,10,5,5,1,7,9,4,5,1,2,0,0,2.25,3.5,2.75,2.25,3.2,2.85,2.25,3.2,2.85,2.3,3.1,2.6,2.38,3.2,2.6,2.35,3.48,3.15,2.25,3.2,2.75,2.38,3.3,2.88,2.3,3.4,3.1,2.1,3.4,3,34,2.45,2.33,3.5,3.25,3.2,2.84,28,1.94,1.86,1.98,1.93,17,-0.25,2.1,2.01,1.89,1.84
EC,18/08/12,Grimsby,Nuneaton Town,0,0,D,0,0,D,7,7,2,2,13,11,4,2,1,0,0,0,1.57,3.7,5.25,1.55,3.75,5,1.55,3.75,5,1.5,3.7,5,1.53,3.75,5,1.56,4.49,6.08,1.5,3.6,5.5,1.53,3.8,6,1.53,4.33,6,1.53,3.75,5.5,35,1.57,1.53,4.49,3.77,6.5,5.77,20,1.62,1.56,2.44,2.32,17,-1,1.99,1.95,1.97,1.9
